rule_id,rule_description,rule_logic
1,Obese patients must have an ASA grade of 2 or more,[bmi]>3 AND [bmi]!=9 AND [asa] = 1
2,Patients with diabetes mellitus must have an ASA grade of 2 or more,[diabetes] > 0 AND [diabetes] != 9 AND [asa] = 1
3,TNM stage and essential TNM stage do not match,"[stage_m] = 2 AND [stage_ess_tnm_breast] <> """" AND [stage_ess_tnm_breast] != 1"
4,TNM stage and essential TNM stage do not match,[stage_m] = 1 AND [stage_ess_tnm_breast] = 1
5,TNM stage and essential TNM stage do not match,"[stage_n_breast] <> """" AND [stage_n_breast] = 0 AND ([stage_ess_tnm_breast] = 2 OR [stage_ess_tnm_breast] = 3)"
6,TNM stage and essential TNM stage do not match,"[stage_n_breast] = 1 AND [stage_m] = 1 AND [stage_ess_tnm_breast] <> """" AND [stage_ess_tnm_breast] != 3"
7,TNM stage and essential TNM stage do not match,"([stage_n_breast] = 2 OR [stage_n_breast] = 3) AND [stage_m] = 1 AND [stage_ess_tnm_breast] <> """" AND [stage_ess_tnm_breast] != 2"
8,TNM stage and essential TNM stage do not match,"[stage_m] = 1 AND [stage_n_breast] = 0 AND [stage_t_breast] = 1 AND [stage_ess_tnm_breast] <> """" AND [stage_ess_tnm_breast] != 6"
9,TNM stage and essential TNM stage do not match,"[stage_m] = 1 AND [stage_n_breast] <> """" AND [stage_n_breast] = 0 AND ([stage_t_breast] = 2 OR [stage_t_breast] = 3) AND [stage_ess_tnm_breast] <> """" AND [stage_ess_tnm_breast] != 5"
10,TNM stage and essential TNM stage do not match,"[stage_m] = 1 AND [stage_n_breast] = 0 AND [stage_t_breast] = 5 AND [stage_ess_tnm_breast] <> """" AND [stage_ess_tnm_breast] != 0"
11,TNM stage and essential TNM stage do not match,"[stage_m] = 1 AND [stage_n_breast] = 0 AND [stage_t_breast] = 4 AND [stage_ess_tnm_breast] <> """" AND [stage_ess_tnm_breast] != 4"
12,TNM stage and essential TNM stage do not match,"[stage_m] = 2 AND [stage_ess_tnm_gast] <> """" AND [stage_ess_tnm_gast] != 1"
13,TNM stage and essential TNM stage do not match,[stage_m] = 1 AND [stage_ess_tnm_gast] = 1
14,TNM stage and essential TNM stage do not match,[stage_n_gastric] = 0 AND [stage_ess_tnm_gast] = 2
15,TNM stage and essential TNM stage do not match,"([stage_n_gastric] = 1 OR [stage_n_gastric] = 2 OR [stage_n_gastric] = 3) AND [stage_m] = 1 AND [stage_ess_tnm_gast] <> """" AND [stage_ess_tnm_gast] != 2"
16,TNM stage and essential TNM stage do not match,[stage_m] = 1 AND [stage_n_gastric] = 0 AND ([stage_t_gast_colo] = 1 OR [stage_t_gast_colo] = 2 OR [stage_t_gast_colo] = 5) AND [stage_ess_tnm_gast] = 3
17,TNM stage and essential TNM stage do not match,[stage_m] = 1 AND [stage_n_gastric] = 0 AND ([stage_t_gast_colo] = 3 OR [stage_t_gast_colo] = 4) AND [stage_ess_tnm_gast] = 4
18,TNM stage and essential TNM stage do not match,"[stage_m] = 2 AND [stage_ess_tnm_colo] <> """" AND [stage_ess_tnm_colo] != 1"
19,TNM stage and essential TNM stage do not match,[stage_m] = 1 AND [stage_ess_tnm_colo] = 1
